physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG1-7,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,40.17733079755126,37.10572891265764,-3.0716018848936173
BCG1-7,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,49.83205927106776,38.90570362924486,-10.926355641822902
BCG1-7,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,41.20735148727142,28.01959325250198,-13.187758234769436
BCG1-7,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.32925867733759,38.87118388877683,-12.458074788560765
BCG1-8,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,40.86467578929236,37.96704843879651,-2.8976273504958527
BCG1-8,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,53.21895796599735,39.85165263377227,-13.36730533222508
BCG1-8,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,40.5471193244566,28.61808665927348,-11.929032665183122
BCG1-8,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,55.50201942540712,41.60698037601584,-13.89503904939128
BCG2-1,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,44.86612141162633,40.76439099694104,-4.101730414685292
BCG2-1,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.755637524700354,40.7601615399579,-10.995475984742455
BCG2-1,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,40.50900166271349,29.94162574308797,-10.567375919625515
BCG2-1,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,53.30148385583267,44.27918331195774,-9.022300543874934
BCG2-2,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,45.0612226584233,40.34883889231554,-4.712383766107756
BCG2-2,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,52.13367576609208,40.998997957601176,-11.134677808490906
BCG2-2,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.32105688287053,29.90113141829522,-13.41992546457531
BCG2-2,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.58843688605412,42.76169340116156,-8.82674348489256
BCG2-3,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.290722068770926,39.83594961923885,-3.454772449532072
BCG2-3,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,53.521704261838096,40.93500786080645,-12.586696401031645
BCG2-3,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,42.8403908546746,30.196387990015243,-12.64400286465936
BCG2-3,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,52.796781829623264,42.95927167198722,-9.837510157636046
BCG2-4,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,44.19850382175312,37.633024303498296,-6.565479518254826
BCG2-4,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,50.76776377079217,41.63509635317592,-9.132667417616254
BCG2-4,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,42.63049275082839,30.885701375450484,-11.744791375377904
BCG2-4,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,54.6256480670058,43.46179431375931,-11.163853753246485
